#,Name,Icon,Image,Section,Description,Common Locations 1,Common Locations 2,Fuse Attack Power,Hearts Recovered,Unique Cooking Effects,Properties (Strength),Properties (Effect),Recoverable Materials 1,Recoverable Materials 2,Recoverable Materials 3,Recoverable Materials 4,Recoverable Materials 5,Recoverable Materials 6,Recoverable Materials 7,Recoverable Materials 8,Recoverable Materials 9,Recoverable Materials 10,Recoverable Materials 11,Recoverable Materials 12,Enemy Sensor Target 1,Enemy Sensor Target 2,Quest Required To Purchase,Name (Japanese),Description (Japanese),SpecialDeal,ActorName
001,Horse,,,Creatures,"These can most often be found on plains.
Their usefulness as transportation has made
them valuable since ancient times. That said,
wild horses do tend to get spooked and run
off when approached, so if you're looking to
snag one, it's best to sneak up on it.",Hyrule Field,Akkala Highlands,-,-,-,-,-,None,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,馬,"主に草原に生息し 移動手段として
昔から人間にも親しまれている
ただ 野生の馬は人間が近づいたら
すぐに逃げるので 捕まえるときは
静かに忍び寄らなければならない",,GameRomHorse
002,Giant Horse,,,Creatures,"This giant horse is the last of its kind. Its
physical capabilities completely overshadow
those of regular horses, but its temperament
is extremely wild. Only a truly skilled rider can
train, or even catch, this beast of a mount.
This is a horse that chooses its rider.",Unknown,-,-,-,-,-,-,None,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,巨馬,"他に類を見ない巨大な馬
その身体能力は 一般の馬をはるかに凌駕するが
気性もすこぶる荒く 捕まえるのも
手なずけるのも 熟練の技術が必要となる
乗り手を選ぶ馬である",,GameRomHorse00L
003,White Horse,,,Creatures,"The Hyrulean royal family that perished over 100
years ago would sometimes ride atop white
horses as a display of their divine right. This
white horse may be a descendant of one
once ridden by royalty.",Unknown,-,-,-,-,-,-,None,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,白馬,"100年以上前に滅んだハイラル王家の王族は
その権威を民に示すため
非常に希少な白馬に乗っていたという
この白い馬も その馬の子孫かもしれない",,GameRomHorseZelda
004,Giant White Stallion,,,Creatures,"This massive animal is thought to share its
lineage with the white horses ridden by Hylian
royalty. Called a ""giant white stallion"" due to its
color and enormous size. This horse is believed
to have been the result of a sudden mutation.
There are many travelers and researchers keen
to seek out this extraordinary creature.",Unknown,-,-,-,-,-,-,None,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,巨躯の白馬,"ハイラル王家の王族が乗っていたとされる
白馬の系統と思われるが
その規格外の大きさから「巨躯の白馬」と
呼称されている
突然変異で生まれたとされる この馬の
情報を求める旅人や研究者は少なくない",,GameRomHorse01L
005,Golden Horse,,,Creatures,"An extremely rare horse with a golden coat,
said to appear only once every hundred years.
The horse's exquisite appearance belies a
rugged constitution that makes it adaptable to
harsh environments. Highly alert, and picky about
who may ride it. Few riders could ever hope to
tame this horse.",Unknown,-,-,-,-,-,-,None,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,金色馬,"黄金の毛並みを持つ 極めて珍しい馬
100年に一頭しか生まれないと言われている
美しい見た目に反して
過酷な環境にも適応することができる
警戒心が高く 乗り手を選ぶため
この馬を手懐けられる者は少ない",,GameRomHorseGold
006,Stalhorse,,,Creatures,"A skeletal horse often ridden by monsters.
These animals, which used to be ordinary horses,
are said to be revived in areas where there is a
high gloom concentration. They can only maintain
their forms in darkness, and they have the
remarkable ability to run atop gloom.",Faron Grasslands,Hyrule Ridge,-,-,-,-,-,None,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,スタルホース,"魔物が乗る骨の馬
元は生きた普通の馬だったが
瘴気の濃い場所で蘇るという
地上では 夜の間しか姿を維持できないが
瘴気の上を走ることができる特性を持つ",,GameRomHorseBone
007,Donkey,,,Creatures,"Smaller than horses, these are raised as
livestock in the countryside, so they don't
exist in the wild. They're more powerful
than they look and specialize in transporting
baggage. This has made them popular with
traveling merchants.",Greater Hyrule,-,-,-,-,-,-,None,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ロバ,"小型の馬
家畜として人里で飼われており
ハイラルでは野生のロバは見かけられない
見た目より力があり 荷物の運搬を得意とするので
行商人が連れている事も多い",,GameRomHorse00S
008,Sand Seal,,,Creatures,"These seals use their large flippers to move
through the sand as if swimming. They were
once wild animals but have since been
domesticated by the Gerudo. They rely on
their excellent hearing to find their way while
submerged in the sand. Their large, distinct
tusks look pretty ferocious, but their favorite
food is actually fruit.",Gerudo Desert,-,-,-,-,-,-,None,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,スナザラシ,"大きなヒレで砂の中を泳ぐように移動する動物
元々はゲルド砂漠の野生動物だったが 
現在はゲルド族によって 家畜化されている
聴覚が発達しているため 砂に潜っても
周囲の音を頼りに迷わず進むことができる
大きな牙が特徴的だが 実は果物が好物",,Animal_Sunazarashi_A
009,Patricia,,,Creatures,"This is Riju's own sand seal. It may look
intense, but she dotes on it regularly; the
ribbon it wears was a gift from her, and it even
has its own pen in Gerudo Town. It's far more
agile than any other sand seal and far more
outgoing. An ever-reliable partner to Riju,
Patricia is always ready to take off through
the desert at a moment's notice.",Gerudo Town,-,-,-,-,-,-,None,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,パトリシアちゃん,"ルージュが飼っているスナザラシ
見た目はちょっと怖いが ルージュは溺愛しており
邸内に専用の砂場も用意されている
額のリボンも彼女から贈られたプレゼント
他のどのスナザラシよりも練度が高く
どんな時も臆せずに 砂漠を駆け抜ける事ができる
族長のパートナーとしても 頼もしい存在",,Animal_SunazarashiSP_C
010,Bushy-Tailed Squirrel,,,Creatures,"These small creatures are known for their
large tails. They tend to live in forests and
subsist on acorns and other nuts. They
carry their food in their mouths but will
sometimes drop it when surprised in an
adorable display of shock.",Hyrule Field,Satori Mountain,-,-,-,-,-,Acorn,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,オタテリス,"大きな尻尾が特徴の小動物
主に森に住み どんぐりなどの木の実を好む
頬に餌をしまう事ができる頬袋を持つが
びっくりすると 入れていたどんぐりを
落としてしまう事もしばしば",,Animal_Squirrel_A
011,Woodland Boar,,,Creatures,"These medium-sized beasts can be found all
throughout Hyrule. You can most often find
them foraging for food in forests or meadows.
Although usually docile, they won't hesitate
to charge you full force if you get too close.",Hyrule Field,West Necluda,-,-,-,-,-,Raw Meat,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,モリイノシシ,"ハイラル全土に生息する中型のケモノ
森や草原で餌を探してる姿が よく見かけられる
基本的に性格は大人しいが 近づき過ぎると 
猛スピードで突進してくることもあるので注意",,Animal_Boar_A
012,Red-Tusked Boar,,,Creatures,"These boars are known for their red tusks and
black fur. They're similar to your average
boars but are considerably stronger. Extra
caution is advised when hunting these.",Hyrule Ridge,Akkala Highlands,-,-,-,-,-,Raw Prime Meat,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,キバアカイノシシ,"黒い体毛と赤い牙が特徴のイノシシ
生態は普通のイノシシと似ているが
生命力が高く 突進の威力も高いため
狩るときには より危険を伴う覚悟が必要である",,Animal_Boar_B
