Name,Inventory Icon,Inventory Icon 2,Caption,Caption 2,Number to Collect,Object Map Link,Name (Japanese),Caption (Japanese),ActorName,PouchGetType,PouchSpecialDeal,PouchSortKey,Inventory Order
Ultrahand,,-,"Grab and move objects, rotate them, and
stick them to other objects.",-,1,-,ウルトラハンド,"離れた場所にある物を つかんで動かす事ができる
つかんだ物は回転させたり 
他の物に接着する事もできる",Obj_UltraHand,SpecialPower_ZonauMagic,None,,001
Fuse,,-,"Attach something to an equipped weapon
or shield to enhance it. You can undo the
fusion, but that will destroy whatever has
been attached.",-,1,-,スクラビルド,"装備している武器や盾に 物をひとつ組み合わせて
新しい武器を作る事ができる 組み合わせた物は
取り外せるが 外した物は失われてしまう",Obj_OneTouchBond,SpecialPower_ZonauMagic,None,,002
Ascend,,-,"Move upward through solid material and
emerge on top of it.",-,1,-,トーレルーフ,"真上へ飛び上がり 天井を通り抜けて
地表に移動する事ができる",Obj_Tooreroof,SpecialPower_ZonauMagic,None,,003
Recall,,-,"Reverse an object's movement until it goes
back to where it was. You can stop the
reverse movement at any time.",-,1,-,モドレコ,"指定した物の移動を逆再生して
元の位置まで戻す事ができる
逆再生は途中で終了させる事もできる",Obj_ReverseRecorder,SpecialPower_ZonauMagic,None,,004
Autobuild,,-,"Instantly re-create your Ultrahand projects,
using nearby items and zonaite. Autobuild
records your previous creations.",-,1,-,ブループリント,"ウルトラハンドでの組み立てを自動的に記録する
周囲の物やゾナニウムを材料にする事で
その記録を瞬時に再現し 組み立てる",Obj_AutoBuilder,SpecialPower_ZonauMagic,None,,005
"Vow of Tulin, Sage of Wind",,-,"Proof of the vow of Tulin, Sage of Wind.
Use it to summon or dismiss the avatar of
Tulin.",-,1,-,風の賢者 チューリとの盟約,"風の賢者チューリと盟約を結んだ証
使う事でチューリの分身を
呼び出したり 戻したりする事ができる",Obj_SageSoul_Rito,Large,SageSoul_Wind,1005,006
"Solemn Vow of Tulin, Sage of Wind",,-,"The strengthened vow of Tulin, Sage of Wind.
Your reinforced bond with Tulin has increased
his avatar's attack power.",-,1,-,風の賢者 チューリとの固い盟約,"風の賢者チューリと盟約を結んだ証
チューリとの絆が深くなった事で
呼び出せる分身の攻撃力が上がった",Obj_SageSoulPlus_Rito,Large,SageSoulPlus_Wind,1005,006
"Vow of Yunobo, Sage of Fire",,-,"Proof of the vow of Yunobo, Sage of Fire.
Use it to summon or dismiss the avatar of
Yunobo.",-,1,-,炎の賢者 ユン坊との盟約,"炎の賢者ユン坊と盟約を結んだ証
使う事でユン坊の分身を
呼び出したり 戻したりする事ができる",Obj_SageSoul_Goron,Large,SageSoul_Fire,1004,007
"Solemn Vow of Yunobo, Sage of Fire",,-,"The strengthened vow of Yunobo, Sage of
Fire. Your reinforced bond with Yunobo has
increased his avatar's attack power.",-,1,-,炎の賢者 ユン坊との固い盟約,"炎の賢者ユン坊と盟約を結んだ証
ユン坊との絆が深くなった事で
呼び出せる分身の攻撃力が上がった",Obj_SageSoulPlus_Goron,Large,SageSoulPlus_Fire,1004,007
"Vow of Sidon, Sage of Water",,-,"Proof of the vow of Sidon, Sage of Water.
Use it to summon or dismiss the avatar of
Sidon.",-,1,-,水の賢者 シドとの盟約,"水の賢者シドと盟約を結んだ証
使う事でシドの分身を
呼び出したり 戻したりする事ができる",Obj_SageSoul_Zora,Large,SageSoul_Water,1003,008
"Solemn Vow of Sidon, Sage of Water",,-,"The strengthened vow of Sidon, Sage of
Water. Your reinforced bond with Sidon has
increased his avatar's attack power.",-,1,-,水の賢者 シドとの固い盟約,"水の賢者シドと盟約を結んだ証
シドとの絆が深くなった事で
呼び出せる分身の攻撃力が上がった",Obj_SageSoulPlus_Zora,Large,SageSoulPlus_Water,1003,008
