Name,Inventory Image,Inventory Icon,Caption,Attack Power,Element,Additional Element Attack Power (AOE),Duration,Energy Wells per second,Fuse Attack Power,Fuse Property 1,Fuse Property 2,Fuse Property 3,Fuse Property 4,Fuse Property 5,Fuse Property 6,Fuse Property 7,Device Dispenser 1,Device Dispenser 2,Device Dispenser 3,Device Dispenser 4,Device Dispenser 5,Device Dispenser 6,Device Dispenser 7,Device Dispenser 8,Device Dispenser 9,Device Dispenser 10,Device Dispenser 11,Name (Japanese),Caption (Japanese),ActorName (Object),ActorName (Item),Inventory Order
Fan,,,"A Zonai device that produces wind with its
internal propeller. It's likely that the Zonai
made smart use of this wind power to
transport objects and generate thrust.",-,-,-,30:00,0.156,1,Blunt,More Shield Surfing Friction,Not Torch,Fan,Fan While Guarding,Cannot Throw,Zonai,Great Sky Island (South),Great Sky Island (East),East Hebra Sky Archipelago,South Eldin Sky Archipelago,Lanayru Sky Archipelago,Wellspring Island,Courage Island,Thunderhead Isles,Dragonhead Island,Kakariko Village,Hudson Construction Site,扇風機,"内部のプロペラの力で風を生み出すゾナウギア
ゾナウ族はこの風の力を巧みに利用し
物を運んだり 推進力を得たりしていた",SpObj_WindGenerator_A_01,SpObj_WindGenerator_Capsule_A_01,01
Wing,,,"A Zonai device that can harness lift to ride
the wind. To fly farther, try balancing in the
center of the wing.",-,-,-,01:15,0,1,Blunt,More Shield Surfing Friction,Wing,Shield Jump Higher,Zonai,-,-,Great Sky Island (East),East Hebra Sky Archipelago,Lanayru Sky Archipelago,Wellspring Island,Lightcast Island,Tabantha Sky Archipelago,North Necluda Sky Archipelago,South Lanayru Sky Archipelago,Dragonhead Island,Left-Leg Depot,-,翼,"風を受けて揚力を発生させるゾナウギア
遠くまで飛ぶには翼の中心に乗って
うまく左右のバランスを取る必要がある",SpObj_LiftGeneratorWing_A_01,SpObj_LiftGeneratorWing_Capsule_A_01,02
Cart,,,"A Zonai device built to move efficiently over
flat surfaces. Apply force to get it moving, so
long as it has a power source.",-,-,-,-,0,1,Blunt,Less Shield Surfing Friction,Not Torch,Zonai,Fan,-,-,East Hebra Sky Archipelago,Sokkala Sky Archipelago,Lanayru Sky Archipelago,West Necluda Sky Archipelago,Dragonhead Island,-,-,-,-,-,-,台車,"平坦な場所を効率よく進むための ゾナウギア
一定以上の力を加えると スムーズに走り出す
自走するには 他の動力と組み合わせる必要がある",SpObj_Cart_A_01,SpObj_Cart_Capsule_A_01,03
Balloon,,,"A Zonai device that rises when filled with
hot air. The hotter the air, the quicker it
rises.",-,-,-,02:00,0,1,Blunt,More Shield Surfing Friction,Not Torch,Hammer,Zonai,-,-,Lightcast Island,Courage Island,West Necluda Sky Archipelago,Kakariko Village,Hudson Construction Site,-,-,-,-,-,-,熱気球,"熱を受けると浮かび上がるゾナウギア
温めた空気が軽くなる事を利用しているため
強く温めると上昇速度が向上する",SpObj_BalloonEnvelope_A_01,SpObj_BalloonEnvelope_Capsule_A_01,04
Rocket,,,"A Zonai device that produces powerful thrust.
It packs a punch but burns out quickly.",-,-,-,-,0.15,10,Blunt,Rocket,Not Torch,Ignore Gravity,No Y Rotation,Zonai,Extra Attack Power On Rock Type When Burst,West Hebra Sky Archipelago,South Hyrule Sky Archipelago,Hudson Construction Site,Left-Leg Depot,-,-,-,-,-,-,-,ロケット,"強力な推進力を発揮するゾナウギア
得られる力が大きい分 本体への負荷も大きく
ごく短時間しか使う事ができない",SpObj_Rocket_A_01,SpObj_Rocket_Capsule_A_01,05
Time Bomb,,,"A Zonai device for a timed explosion. Its blast
can activate other Zonai devices.",-,Bomb,30,-,0,1,Blunt,More Shield Surfing Friction,Not Torch,Zonai,Shield Surfing Spring,-,-,West Hebra Sky Archipelago,Sky Mine,Courage Island,South Hyrule Sky Archipelago,North Necluda Sky Archipelago,Zonaite Forge Island,-,-,-,-,-,タイマーバクダン,"時限式で破裂するゾナウギア
破裂の衝撃は 他のゾナウギアを
起動させる事ができる",SpObj_TimerBomb_A_01,SpObj_TimerBomb_Capsule_A_01,06
Portable Pot,,,"A Zonai device for cooking food almost
anytime, anywhere. It lasts for cooking one
recipe only. The device is easier to use on
flat surfaces.",-,-,-,-,0,1,Blunt,More Shield Surfing Friction,Not Torch,Extra Attack Power On Rock Type,Zonai,-,-,Great Sky Island (South),Great Sky Island (East),West Hebra Sky Archipelago,Courage Island,Thunderhead Isles,Gerudo Canyon Pass,Death Mountain Depths,-,-,-,-,携帯鍋,"いつでもどこでも料理ができるゾナウギア
簡易的なつくりのため 一度きりの使い捨て
平らなところで料理するのが 上手に作るコツ",SpObj_CookSetOnFire_A_01,SpObj_CookSet_Capsule_A_01,07
Flame Emitter,,,"A Zonai device that shoots fire. It's thought
to have been originally used as protection
from monsters.",-,Fire,0,30:00,0.18,1,Blunt,More Shield Surfing Friction,Not Torch,Zonai,Fire Burst,-,-,Great Sky Island (South),Great Sky Island (East),West Hebra Sky Archipelago,Bravery Island,Zonaite Forge Island,-,-,-,-,-,-,火龍の頭,"前方に炎を放出するゾナウギア
元々は魔物から身を守るための
護身用に使われていた",SpObj_FlameThrower_A_01,SpObj_FlameThrower_Capsule_A_01,08
Frost Emitter,,,"A Zonai device that blasts out freezing air,
handy for slowing and defeating some
monsters. Also, some materials change their
properties when exposed to very cold air.",-,Ice,0,30:00,0.18,1,Blunt,More Shield Surfing Friction,Not Torch,Zonai,Ice Burst,-,-,Tabantha Sky Archipelago,Starview Island,Zonaite Forge Island,South Lanayru Sky Archipelago,-,-,-,-,-,-,-,氷龍の頭,"指向性のある冷気を放出するゾナウギア
魔物の撃退に役立つほか 水面を凍らせて
氷を作る用途にも使う事ができる",SpObj_SnowMachine_A_01,SpObj_SnowMachine_Capsule_A_01,09
Shock Emitter,,,"A Zonai device that shoots a shocking bolt
from its horn when struck. Oddly, only the
horn conducts the bolt. The rest of the head
is safe to hold.",-,Electric,0,30:00,0.18,1,Blunt,More Shield Surfing Friction,Not Torch,Expand Hitbox,Zonai,Electric Burst,-,North Hyrule Sky Archipelago,Starview Island,Thunderhead Isles,-,-,-,-,-,-,-,-,雷龍の頭,"叩くと先端に高圧電流を流す ゾナウギア
根元部分は絶縁されているので
手に持つ場合は ここを持つと安全だ",SpObj_ElectricBoxGenerator,SpObj_ElectricBoxGenerator_Capsule_A_01,10
