Name,Inventory Icon,Caption,Object Map Link,Property,Base Shield Guard Strength,Shield Guard Up Lv1 Range,Shield Guard Up Lv2 Range,Durability,Durability Up Range,Durability Up+ Range,Fusable,Fuse Attack Power,Fuse Property 1,Fuse Property 2,Fuse Property 3,Fuse Base Name,Shield Bash Attack Power,Shield Surfing Damage Ratio,Shield Surfing Friction,Buy Price (Rupees),Buy Price (Poes),Buy Price (Zonaite),Scales To,Scales Up When Points Total Is,Scale Up Effect Lv1 When Points Total Is,Scale Up Effect Lv2 When Points Total Is,Flammable,Conducts Electricity,Wettability,Name (Japanese),Caption (Japanese),ActorName,Compendium #
Hylian Shield,,"A shield passed down through the Hyrulean
royal family, along with the legend of the
hero who wielded it. Its defensive capabilities
and durability outshine all other shields.",Hylian Shield,-,90,93 - 95,96 - 100,800,803 - 805,806 - 810,TRUE,22,Blunt,Two-Handed Weapon Guard,-,Shield,-,1,1,3000,-,-,-,-,"12,533","13,066",FALSE,TRUE,0.1,ハイリアの盾,"勇者が手にしたという伝説と共に
古よりハイラル王家に受け継がれてきた盾
他を寄せ付けない 圧倒的な防御力と耐久性を誇る",Weapon_Shield_030,471
Pot Lid,,"The lid of a large soup pot. It smells vaguely
of poultry broth... Yum! It can take quite a
beating before breaking.",Pot Lid,-,1,4 - 6,7 - 11,10,13 - 15,16 - 20,TRUE,1,Blunt,Two-Handed Weapon Guard,-,Pot Lid,-,1,1,-,-,-,-,-,666,"1,200",TRUE,FALSE,1,ナベのフタ,"村人の生活を支える料理鍋のフタ
丈夫な木で作られてはいるが 
盾として使い続けるには 心もとない",Weapon_Shield_040,472
Old Wooden Shield,,"An aged, worn-out wooden shield. It can
withstand lighter attacks, such as arrows.",Old Wooden Shield,-,2,5 - 7,8 - 12,12,15 - 17,18 - 22,TRUE,1,Blunt,Two-Handed Weapon Guard,-,Shield,-,1,1,-,-,-,-,-,800,"1,333",TRUE,FALSE,1,古びた木の盾,"かなり古びた木製の盾
痛んで もろくなっているが 
矢などの 軽い攻撃なら受ける事ができる",Weapon_Shield_107,473
Wooden Shield,,"This lightweight, simple shield is ideal for
less experienced fighters. It can withstand
light attacks, but blocking stronger blows
is not recommended.",Wooden Shield,-,2,5 - 7,8 - 12,12,15 - 17,18 - 22,TRUE,1,Blunt,Two-Handed Weapon Guard,-,Shield,-,1,1,30,-,-,-,-,266,800,TRUE,FALSE,1,木の盾,"軽量な木材から作られているため
戦闘初心者でも扱いやすい盾
矢などの軽い攻撃なら受ける事ができる",Weapon_Shield_001,474
Emblazoned Shield,,"This shield features a traditional design from
Necluda. Its combat capabilities aren't much
better than the standard wooden shield, but
it found popularity for its design.",Emblazoned Shield,-,3,6 - 8,9 - 13,12,15 - 17,18 - 22,TRUE,1,Blunt,Two-Handed Weapon Guard,-,Shield,-,1,1,-,-,-,-,-,933,"1,466",TRUE,FALSE,1,ケモノ柄の盾,"ハテール地方の伝統的な意匠が描かれた盾
盾としての性能は一般的な木の盾と
大差はないが 工芸品として人気がある",Weapon_Shield_034,475
Hunter's Shield,,"Favored by hunters for its rabbit design,
which is said to bring luck on hunts. It's
easy to use, but its durability leaves
something to be desired.",Hunter's Shield,-,3,6 - 8,9 - 13,10,13 - 15,16 - 20,TRUE,1,Blunt,Two-Handed Weapon Guard,-,Shield,-,1,1,-,-,-,-,-,933,"1,466",TRUE,FALSE,1,ウサギ柄の盾,"森の猟師が好んで使う盾
クセがなく扱いやすいが 耐久性はあまり高くない
ウサギの意匠は 獲物に恵まれるための縁起担ぎ",Weapon_Shield_031,476
Fisherman's Shield,,"Often carried by fishermen for its fish design,
which represents hope for a great catch. Its
light wooden construction makes it
convenient to take onto a boat.",Fisherman's Shield,-,3,6 - 8,9 - 13,10,13 - 15,16 - 20,TRUE,1,Blunt,Two-Handed Weapon Guard,-,Shield,-,1,1,-,-,-,-,-,933,"1,466",TRUE,FALSE,1,魚柄の盾,"海の漁師が好んで使う盾
船の上で扱いやすいよう 軽い木で作られている
魚の意匠は 豊漁を願っての縁起担ぎ",Weapon_Shield_032,477
Traveler's Shield,,"A sturdy shield loved by many an adventurer.
It is made of animal hide and sturdy wood
and is best suited to defending against weak
monsters or animals.",Traveler's Shield,-,4,7 - 9,10 - 14,12,15 - 17,18 - 22,TRUE,1,Blunt,Two-Handed Weapon Guard,-,Shield,-,1,1,-,-,-,Soldier’s Shield,"1,600",533,"1,066",TRUE,FALSE,1,旅人の盾,"旅人の護身用に広く使われている盾
頑丈な木に革が張られており 低級な魔物や
獣からの攻撃程度なら 受ける事ができる",Weapon_Shield_035,478
Soldier’s Shield,,"A shield once used by the guards of Hyrule
Castle. It's easy to handle, but its core is 
made of wood, so it can catch fire.",Soldier’s Shield,-,16,19 - 21,22 - 26,16,19 - 21,22 - 26,TRUE,4,Blunt,Two-Handed Weapon Guard,-,Shield,-,1,1,100,-,-,Knight's Shield,"3,200","2,133","2,666",TRUE,FALSE,1,兵士の盾,"かつて城を守る兵士に支給された盾
木でできているので軽くて使いやすいが
火が付くと燃えてしまうので注意",Weapon_Shield_002,479
Knight's Shield,,"A shield favored by the knights who served
the Hyrulean royal family. Its sturdy metal
construction makes it quite durable, but
its weight requires decent skill to wield.",Knight's Shield,-,40,43 - 45,46 - 50,23,26 - 28,29 - 33,TRUE,10,Blunt,Two-Handed Weapon Guard,-,Shield,-,1,1,300,-,-,Royal Shield,"6,400","5,333","5,866",FALSE,TRUE,0.1,騎士の盾,"ハイラル王家に仕えた騎士が使っていた盾
金属製の頑丈な作りで 激しい戦闘にも耐えられる
重量があるので 扱いにはそれなりの腕前が必要",Weapon_Shield_003,480
