Recipe #,Name,Inventory Icon,Caption,Required Ingredient 1,Required Ingredient 2,Required Ingredient 3,Required Ingredient 4,Required Ingredient 5,Cooking Method,Effect,Effect Level,Effect Duration,Base Hearts Recovered,Base Sell Price,Buy Price,Fusable,Fuse Attack Power,Fuse Property 1,Fuse Property 2,Fuse Property 3,Fuse Property 4,Fuse Property 5,Destroyed on Hit,Eat Animation,Caption (Elixir Level 2),Caption (Elixir Level 3),Name (Japanese),Caption (Japanese),ActorName,ActorName (Level 1),ActorName (Level 2),ActorName (Level 3)
001,Mushroom Skewer,,"This simple mushroom-packed skewer has its
colorful presentation to thank for its appeal.",Mushroom,-,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingSkewer,-,-,串焼きキノコ,"キノコの風味が香るシンプルな串焼き
カラフルな見た目が食欲をそそる",Item_Cook_A_01,-,-,-
002,Meat and Mushroom Skewer,,"A filling dish made by grilling various
mountain ingredients with meat.",Mushroom,Meat,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingSkewer,-,-,串焼き肉キノコ添え,"新鮮な肉をメインに 山の恵みをふんだんに使った
ボリューム満点の串焼き料理",Item_Cook_A_09,-,-,-
003,Fish and Mushroom Skewer,,"A simple dish made by cooking skewered
fresh fish alongside fragrant mushrooms.",Mushroom,Fish,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingSkewer,-,-,串焼き魚キノコ添え,"新鮮な魚の串焼きに香りの高いキノコを添えた
シンプルながら味わい深い料理",Item_Cook_A_08,-,-,-
004,Meat Skewer,,"A juicy, filling snack made by grilling small
chunks of meat on a skewer.",Meat,-,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingSkewer,-,-,串焼き肉,"大自然の恵み ケモノ肉を
豪快に焼き上げたジューシーな串焼き",Item_Cook_B_06,-,-,-
005,Fish Skewer,,"A simple dish made by cooking chunks of
fresh fish on a skewer.",Fish,-,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingSkewer,-,-,串焼き魚,"採れたての魚を串に刺して焼き上げた
シンプルながらもっとも魚の味を楽しめる料理",Item_Cook_B_05,-,-,-
006,Seafood Skewer,,"A skewer of delicious roasted fish
and shellfish.",Seafood,-,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingSkewer,-,-,魚貝串焼き,"魚や貝などの素材を組み合わせた串焼き
魚介の旨味が堪能できる料理",Item_Cook_B_23,-,-,-
007,Copious Meat Skewers,,"Just shove a bunch of meat onto a skewer,
and you're good to go.",Meat,Meat,Meat,Meat,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingSkewer,-,-,山盛串焼き肉,"異なる種類の肉を使った 贅沢な串焼き
焼き肉好きならば 一度は食べてみたい料理",Item_Cook_B_16,-,-,-
008,Copious Seafood Skewers,,"It's just a whole heap of stuff shoved onto a
skewer, but it's still a pretty tasty dish.",Fish,Fish,Fish,Fish,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingSkewer,-,-,山盛串焼き魚,"色々な種類の魚を ふんだんに使った串焼き
焼魚好きには たまらない逸品",Item_Cook_B_15,-,-,-
009,Steamed Fruit,,"A regional dish made by steaming near-
ripened fruits in the leaves of fragrant plants.",Plant,Fruit,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,蒸し焼き果実,"完全に熟す前のフルーツを
香りの高い山菜で包んで蒸し焼きにした郷土料理",Item_Cook_A_03,-,-,-
010,Steamed Tomatoes,,"Tomato cooked while wrapped in a leaf. The
heat brings out its medicinal effect.",Plant,Hylian Tomato,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,山菜トマト蒸し焼き,"薬効のある植物の葉で トマトを包んで焼いた料理
火を通しているため 消化吸収の効率が高い",Item_Cook_Q_03,-,-,-
011,Steamed Mushrooms,,"A healthy vegetable dish achieved by
steaming mushrooms in plant leaves.",Plant,Mushroom,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,包み焼きキノコ,"香りの良い山菜でキノコを包んで焼き上げた
ヘルシーな野菜料理",Item_Cook_A_02,-,-,-
012,Steamed Meat,,"This meat dish has been wrapped in fragrant
leaves and steamed to preserve its moisture.",Plant,Meat,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,包み焼き肉,"肉のうまみを逃がさないよう
香りの良い山菜で包んで焼き上げた蒸し焼き",Item_Cook_A_05,-,-,-
013,Steamed Fish,,"A refined dish made by wrapping a fresh fish
in fragrant wild greens and cooking it.",Plant,Fish,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,包み焼き魚,"新鮮な魚を香りの強い野草で包み
じっくり焼き上げた手の込んだ料理",Item_Cook_A_04,-,-,-
014,Sautéed Peppers,,"The spiciness of these sautéed peppers has
been broken by the heat for a sweeter taste.",Spicy Pepper,-,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,炒めポカポカ,"ポカポカ草の実だけで作った珍しい炒め物
辛さの中に かすかなうまみを感じる",Item_Cook_B_21,-,-,-
015,Sautéed Nuts,,"These sautéed tree seeds are the perfect
snack for the busy adventurer on the go!",Nut,-,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,ナッツ炒め,"森の木の実を香ばしく炒めた かんたん料理
栄養満点で小腹が空いた時にぴったりのおやつ",Item_Cook_B_22,-,-,-
016,Fried Wild Greens,,"A basic vegetable dish made by sautéing
fresh wild plants.",Plant,-,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,焼き山菜,"一番簡単な野菜料理
フレッシュな野草を さっと炒めた一品",Item_Cook_B_01,-,-,-
017,Copious Fried Wild Greens,,"A healthy dish made by cooking mixed 
greens over a strong flame.",Plant,Plant,Plant,Plant,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,山盛焼き山菜,"体に良い山菜をたくさん使い
強火で焼き上げた体にとても良い料理",Item_Cook_B_11,-,-,-
018,Cooked Stambulb,,"A wild dish of a whole stambulb roasted
with its skin on. Sweet and tasty.",Stambulb,-,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,丸ごと焼き,"皮に包まれたままのガンバリ草を 丸ごと焼いた
ワイルドな料理 甘くホクホクしておいしい",Item_Cook_Q_06,-,-,-
019,Buttered Stambulb,,"A simple dish of stambulb sautéed with
goat butter. Sweet with a hint of spice.",Stambulb,Goat Butter,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,バター炒め,"ガンバリ草をヤギのバターで炒めたシンプル料理
塩味と甘味がほど良く 香ばしい風味がたまらない",Item_Cook_Q_07,-,-,-
020,Copious Mushroom Skewers,,"Fans of fungal cuisine can't resist this simple
mushroom-skewer dish. Very filling.",Mushroom,Mushroom,Mushroom,Mushroom,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingSkewer,-,-,山盛焼きキノコ,"キノコ好きが最後に行き着くという
シンプルな串焼きキノコ 結構お腹がふくれる",Item_Cook_B_13,-,-,-
021,Spiced Meat Skewer,,"A special Goron spice covers up the scent
of the meat, allowing its flavor to shine.",Raw Meat,Goron Spice,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingSkewer,-,-,ケモノステーキ,"ゴロン族特製のスパイスが 肉の臭み消しになり
素材の旨味が引き立ったステーキ",Item_Cook_P_03,-,-,-
