Name,Inventory Icon,Inventory Icon (Altered),Caption,Equip Slot,Object Map Link,Source 1,Source 2,Repurchase Shop,Buy Price (Rupees),Buy Price (Poes),Sell Price (Base),Sell Price ★,Sell Price ★★,Sell Price ★★★,Sell Price ★★★★,Effect,Effect Icon,Hidden Effect,Set Bonus,Hidden Set Bonus,Dyeable,Defense (Base),Defense ★,Defense ★★,Defense ★★★,Defense ★★★★,Upgrade Material ★ (1),Upgrade Material Quantity ★ (1),Upgrade Material ★ (2),Upgrade Material Quantity ★ (2),Upgrade Material ★ (3),Upgrade Material Quantity ★ (3),Upgrade Material ★★ (1),Upgrade Material Quantity ★★ (1),Upgrade Material ★★ (2),Upgrade Material Quantity ★★ (2),Upgrade Material ★★ (3),Upgrade Material Quantity ★★ (3),Upgrade Material ★★★ (1),Upgrade Material Quantity ★★★ (1),Upgrade Material ★★★ (2),Upgrade Material Quantity ★★★ (2),Upgrade Material ★★★ (3),Upgrade Material Quantity ★★★ (3),Upgrade Material ★★★★ (1),Upgrade Material Quantity ★★★★ (1),Upgrade Material ★★★★ (2),Upgrade Material Quantity ★★★★ (2),Upgrade Material ★★★★ (3),Upgrade Material Quantity ★★★★ (3),Name (Japanese),Caption (Japanese),ActorName (Base),ActorName ★,ActorName ★★,ActorName ★★★,ActorName ★★★★,ActorName (Base) [Altered],Set (Internal),Inventory Order (By body part),Inventory Order (By set)
Archaic Tunic,,-,"Old-fashioned upper-body wear. It's got some
holes, but the soft cloth feels good to the
touch. It's hard to keep it wrinkle-free.",Body,Archaic Tunic,Treasure Chest (Great Sky Island),-,Cece (Ventest Clothing Boutique),50,-,15,-,-,-,-,-,-,-,-,-,TRUE,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,古びたトーガ,"古めかしい様式の上着
綻びはあるが さらりとした肌触りが心地よい
シワを整えるのが 難しい",Armor_1043_Upper,-,-,-,-,-,OldWear,060,001
Archaic Legwear,,-,"Simple, classic legwear. They're well-worn
and showing their age, but they've still got a
few good years left in them. It can be a bit
cumbersome to have to tie the straps.",Legs,Archaic Legwear,Treasure Chest (Great Sky Island),-,Cece (Ventest Clothing Boutique),50,-,15,-,-,-,-,-,-,-,-,-,TRUE,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,古びた下履き,"簡素で古風な履物
年月を感じる傷みはあるが まだ十分履ける
サンダルの紐を結ぶのが 少し大変",Armor_1043_Lower,-,-,-,-,-,OldWear,098,002
Archaic Warm Greaves,,-,"Warm greaves believed to be from a very long
time ago. Despite the old look, the heat-
retaining material makes it pleasantly resistant
to cold temperatures.",Legs,Archaic Warm Greaves,Treasure Chest (Great Sky Island),-,Cece (Ventest Clothing Boutique),80,-,20,-,-,-,-,-,-,-,-,-,TRUE,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,古びた防寒着,"かなり昔に作られたと思われる防寒着
古びてはいるが 保温性の高い生地のおかげで
ある程度の寒さにならば 十分耐えられる",Armor_1044_Lower,-,-,-,-,-,OldWear,099,003
Hylian Hood,,,"A hood woven using traditional Hyrulean
methods. It's made from a sturdy material
to protect travelers from the harsh
sun and weather.",Head,Hylian Hood,Armor Shop (Lookout Landing),Armor Shop (Ventest Clothing Boutique),-,70,-,15,65,165,365,865,-,-,-,-,-,TRUE,3,5,8,12,20,Bokoblin Horn,5,-,-,-,-,Blue Bokoblin Horn,5,Bokoblin Fang,3,-,-,Black Bokoblin Horn,5,Bokoblin Guts,3,Amber,20,Silver Bokoblin Horn,5,Bokoblin Guts,5,Amber,30,ハイリアのフード,"ハイラルの伝統的な製法で織られた
丈夫な布で作られたフード 雨風や強い日差しから
頭を守るために 旅人に愛用されている",Armor_001_Head,Armor_002_Head,Armor_003_Head,Armor_004_Head,Armor_015_Head,Armor_1152_Head,Hylia,001,004
Hylian Tunic,,-,"A common garb that achieved widespread
popularity in Hyrule, particularly among
travelers. Its light-yet-sturdy fabric doesn't
limit movement.",Body,Hylian Tunic,Armor Shop (Lookout Landing),Armor Shop (Ventest Clothing Boutique),-,130,-,35,85,185,385,885,-,-,-,-,-,TRUE,3,5,8,12,20,Bokoblin Horn,5,-,-,-,-,Blue Bokoblin Horn,5,Bokoblin Fang,3,-,-,Black Bokoblin Horn,5,Bokoblin Guts,3,Amber,20,Silver Bokoblin Horn,5,Bokoblin Guts,5,Amber,30,ハイリアの服,"ハイラルで広く親しまれている 一般的な装束
軽くて丈夫な布で作られているので 動きやすい
旅人の中にも 身に着けている者が多い",Armor_001_Upper,Armor_002_Upper,Armor_003_Upper,Armor_004_Upper,Armor_015_Upper,-,Hylia,061,005
Hylian Trousers,,-,"Traditional dress trousers of Hyrule.
The plush fabric makes these trousers
quite comfortable, and their high durability
makes them ideal for travelers.",Legs,Hylian Trousers,Armor Shop (Lookout Landing),Armor Shop (Ventest Clothing Boutique),-,120,-,30,80,180,380,880,-,-,-,-,-,TRUE,3,5,8,12,20,Bokoblin Horn,5,-,-,-,-,Blue Bokoblin Horn,5,Bokoblin Fang,3,-,-,Black Bokoblin Horn,5,Bokoblin Guts,3,Amber,20,Silver Bokoblin Horn,5,Bokoblin Guts,5,Amber,30,ハイリアのズボン,"ハイラルで広く親しまれている 一般的なズボン
柔らかな布で作られており 心地が良い
作りは丈夫なので 旅の装束としても人気",Armor_001_Lower,Armor_002_Lower,Armor_003_Lower,Armor_004_Lower,Armor_015_Lower,-,Hylia,100,006
Soldier's Helm,,-,"Headgear made from sturdy metals for
frontline soldiers. Praised for their defensive
capabilities, the only helms that remain are
those that survived the Calamity.",Head,Soldier's Helm,Treasure Chest (Royal Hidden Passage),-,Cece (Ventest Clothing Boutique),180,-,45,95,195,395,895,-,-,-,-,-,TRUE,4,7,12,18,28,Chuchu Jelly,5,Bokoblin Guts,3,-,-,Keese Eyeball,5,Moblin Guts,3,-,-,Lizalfos Tail,3,Hinox Guts,3,Flint,30,Lynel Hoof,5,Lynel Guts,5,Amber,30,ハイリア兵の兜,"最前線で戦う兵士のための兜
金属製のしっかりした作りで 高い防御力が特徴
現存する物は 大厄災時の破損を免れたものである",Armor_020_Head,Armor_095_Head,Armor_096_Head,Armor_097_Head,Armor_098_Head,-,HyliaArmor,002,007
Soldier's Armor,,-,"Hyrulean guards praised this armor for its
superior defense. Made from sturdy plates of
metal, the high level of craftsmanship that 
went into it is obvious with just a glance.",Body,Soldier's Armor,Treasure Chest (Royal Hidden Passage),-,Cece (Ventest Clothing Boutique),250,-,65,115,215,415,915,-,-,-,-,-,TRUE,4,7,12,18,28,Chuchu Jelly,5,Bokoblin Guts,3,-,-,Keese Eyeball,5,Moblin Guts,3,-,-,Lizalfos Tail,3,Hinox Guts,3,Flint,30,Lynel Hoof,5,Lynel Guts,5,Amber,30,ハイリア兵の鎧,"ハイリア人兵士が 装備していた鎧
金属の板を加工して作られ 高い防御力が特徴
丈夫な装甲からは 職人の高い技術が見て取れる",Armor_020_Upper,Armor_095_Upper,Armor_096_Upper,Armor_097_Upper,Armor_098_Upper,-,HyliaArmor,062,008
Soldier's Greaves,,-,"Hyrulean guards favored these greaves.
They owe their distinctly high defense to
the metal plates they're made from, but the
added weight takes some getting used to.",Legs,Soldier's Greaves,Treasure Chest (Royal Hidden Passage),-,Cece (Ventest Clothing Boutique),200,-,50,70,100,140,265,-,-,-,-,-,TRUE,4,7,12,18,28,Chuchu Jelly,5,Bokoblin Guts,3,-,-,Keese Eyeball,5,Moblin Guts,3,-,-,Lizalfos Tail,3,Hinox Guts,3,Flint,30,Lynel Hoof,5,Lynel Guts,5,Amber,30,ハイリア兵のすねあて,"ハイリア人兵士が 装備していたすねあて
丈夫な金属を加工して作られ 高い防御力が特徴
重量があるので 装備して走るのには慣れが必要",Armor_020_Lower,Armor_095_Lower,Armor_096_Lower,Armor_097_Lower,Armor_098_Lower,-,HyliaArmor,101,009
Snowquill Headdress,,-,"A Rito accessory made from snow-bird
feathers. It's adorned with a ruby, a gem
that harnesses the power of fire to make
cold climates more tolerable.",Head,Snowquill Headdress,Armor Shop (Brazen Beak),-,-,650,-,150,200,300,500,1000,Cold Resistance,,-,Unfreezable,-,TRUE,3,5,8,12,20,Red Chuchu Jelly,3,-,-,-,-,Red Chuchu Jelly,5,Warm Safflina,3,-,-,Fire Keese Wing,5,Fire-Breath Lizalfos Tail,3,Sunshroom,5,Fire-Breath Lizalfos Horn,5,Fire-Breath Lizalfos Tail,10,Ruby,5,雪よけの羽飾り,"雪鳥の上質な羽と 炎の力を宿した宝石である
ルビーがあしらわれた リト族の羽飾り
身に着けると 寒さに強くなる効果がある",Armor_009_Head,Armor_036_Head,Armor_071_Head,Armor_072_Head,Armor_073_Head,-,Rito,003,010
