Name,Fabric Image,Paraglider Image,Caption,Source,Glows at Night,Release Date,Name (Japanese),Caption (Japanese),Fabric ActorName,Paraglider ActorName,Menu Order
Ordinary Fabric,,,-,Default,No,05/12/23,いつもの生地,-,Obj_SubstituteCloth_Default,Parasail,01
Nostalgic Fabric,,,"Tough fabric bearing a nostalgic design. It
looks like it could be used to make a
paraglider.",Treasure Chest (Temple of Time Ruins),No,05/12/23,懐かしい柄の生地,"懐かしいデザインがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_55,Parasail_Pattern55,02
Royal Hyrulean Fabric,,,"Tough fabric bearing a royal Hyrulean design.
It looks like it could be used to make a
paraglider.",Treasure Chest (Hyrule Castle),No,05/12/23,ハイラル王家の生地,"ハイラル王家のデザインがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_03,Parasail_Pattern03,03
Goron Fabric,,,"Tough fabric bearing a Goron design. It looks
like it could be used to make a paraglider.",Mine-Cart Land: Death Mountain,No,05/12/23,ゴロン族の生地,"ゴロン族のデザインがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_00,Parasail_Pattern00,04
Zora Fabric,,,"Tough fabric bearing a Zora design. It looks
like it could be used to make a paraglider.",The Blue Stone,No,05/12/23,ゾーラ族の生地,"ゾーラ族のデザインがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_01,Parasail_Pattern01,05
Gerudo Fabric,,,"Tough fabric bearing a Gerudo design.
It looks like it could be used to make a
paraglider.",Southern Oasis Training Area Race,No,05/12/23,ゲルド族の生地,"ゲルド族のデザインがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_02,Parasail_Pattern02,06
Sheikah Fabric,,,"Tough fabric bearing a Sheikah design.
It looks like it could be used to make a
paraglider.",Purchase armor at Enchanted,No,05/12/23,シーカー族の生地,"シーカー族のデザインがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_05,Parasail_Pattern05,07
Zonai Fabric,,,"Tough fabric bearing a Zonai design. It looks
like it could be used to make a paraglider.",Legend of the Great Sky Island,No,05/12/23,ゾナウの生地,"ゾナウ由来のデザインがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_04,Parasail_Pattern04,08
Korok Fabric,,,"Tough fabric bearing a Korok design. It looks
like it could be used to make a paraglider.",The Secret Room,No,05/12/23,コログ族の生地,"コログ由来のデザインがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_14,Parasail_Pattern14,09
Hudson Construction Fabric,,,"Tough fabric bearing a Hudson Construction
design. It looks like it could be used to make
a paraglider.",Home on Arrange,No,05/12/23,エノキダ工務店の生地,"エノキダ工務店のデザインがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_12,Parasail_Pattern12,10
Lucky Clover Gazette Fabric,,,"Tough fabric bearing a Lucky Clover Gazette
design. It looks like it could be used to make
a paraglider.",Potential Princess Sightings! (2 Stables),No,05/12/23,シロツメ新聞社の生地,"シロツメ新聞のデザインがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_11,Parasail_Pattern11,11
Lurelin Village Fabric,,,"Tough fabric bearing a Lurelin Village design.
It looks like it could be used to make a
paraglider.",Rattled Ralera,No,05/12/23,ウオトリー村の生地,"ウオトリー村のデザインがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_10,Parasail_Pattern10,12
Horse-God Fabric,,,"Tough fabric bearing a design of the horse
god, Malanya. It looks like it could be used to
make a paraglider.",5 Pony Points Reward,No,05/12/23,馬神様の生地,"馬の神 マーロンのデザインがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_09,Parasail_Pattern09,13
Monster-Control-Crew Fabric,,,"Tough fabric bearing a monster-control-crew
design. It looks like it could be used to make
a paraglider.",Complete all monster control quests,No,05/12/23,討伐隊の生地,"討伐隊のデザインがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_07,Parasail_Pattern07,14
Zonai Survey Team Fabric,,,"Tough fabric bearing a Zonai Survey Team
design. It looks like it could be used to make
a paraglider.",Messages from an Ancient Era,No,05/12/23,ゾナウ調査隊の生地,"ゾナウ調査隊のデザインがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_08,Parasail_Pattern08,15
Cece Fabric,,,"Tough fabric bearing a Cece-brand design.
It looks like it could be used to make a
paraglider.",Sayge,No,05/12/23,SAGONOの生地,"SAGONOのデザインがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_17,Parasail_Pattern17,16
Addison's Fabric,,,"Tough fabric bearing an image of Hudson,
hand-drawn by Addison. It looks like it could
be used to make a paraglider.",Complete all 81 Addison signs,Yes,05/12/23,カバンダお手製の生地,"カバンダの描いたエノキダがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_56,Parasail_Pattern56,17
